 ========== VECTORS ========== 
=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|
     |   x0|   x1|   x2|   x3|   x4|   x5|   x6|   x7|   x8|
=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|
   v0|    0|    0|    1|    0|    0|    1|    0|    0|    0|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|
   v1|    0|    1|    1|    0|    0|    1|    0|    0|    0|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|
   v2|    0|    0|    0|    0|    0|    1|    0|    0|    0|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|
   v3|    0|    1|    0|    0|    1|    1|    0|    1|    0|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|
   v4|    0|    0|    0|    0|    1|    1|    0|    1|    0|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|
   v5|    0|    1|    1|    0|    1|    1|    0|    1|    0|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|
   v6|    0|    1|    0|    1|    0|    1|    0|    0|    0|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|
   v7|    0|    0|    0|    1|    0|    1|    0|    0|    0|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|
   v8|    0|    1|    1|    1|    0|    1|    0|    0|    0|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|
