========FIRST LAYER WEIGHTS========
=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|
     |   w0|   w1|   w2|   w3|   w4|   w5|   w6|   w7|   w8|   w9|  w10|  w11|  w12|  w13|  w14|  w15|  w16|  w17|  w18|  w19|  w20|  w21|  w22|  w23|  w24|  w25|  w26|  w27|  w28|  w29|  w30|  w31|  w32|  w33|  w34|
=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|
   X0|    0|    2|    0|    2|    0|    0|    0|    2|   -2|    2|   -2|    2|    0|    2|    0|   -2|   -2|    0|    0|    0|   -2|    2|    0|    2|    0|   -2|    2|    2|    0|    0|   -2|    2|    2|    2|   -2|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
   X1|    2|    0|   -2|    0|    2|    2|   -2|    0|    0|    0|    0|    0|    2|    0|   -2|    0|    0|   -2|   -2|   -2|    0|    0|    2|    0|   -2|    0|    0|    0|    2|   -2|    0|    0|    0|    0|    0|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
   X2|    2|    0|   -2|    0|    2|    2|   -2|    0|    0|    0|    0|    0|    2|    0|   -2|    0|    0|   -2|   -2|   -2|    0|    0|    2|    0|   -2|    0|    0|    0|    2|   -2|    0|    0|    0|    0|    0|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
   X3|   -2|    0|    2|    0|   -2|   -2|    2|    0|    0|    0|    0|    0|   -2|    0|    2|    0|    0|    2|    2|    2|    0|    0|   -2|    0|    2|    0|    0|    0|   -2|    2|    0|    0|    0|    0|    0|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
   X4|   -2|    0|    2|    0|   -2|   -2|    2|    0|    0|    0|    0|    0|   -2|    0|    2|    0|    0|    2|    2|    2|    0|    0|   -2|    0|    2|    0|    0|    0|   -2|    2|    0|    0|    0|    0|    0|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
   X5|   -2|    0|    2|    0|   -2|   -2|    2|    0|    0|    0|    0|    0|   -2|    0|    2|    0|    0|    2|    2|    2|    0|    0|   -2|    0|    2|    0|    0|    0|   -2|    2|    0|    0|    0|    0|    0|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
   X6|   -2|    0|    2|    0|   -2|   -2|    2|    0|    0|    0|    0|    0|   -2|    0|    2|    0|    0|    2|    2|    2|    0|    0|   -2|    0|    2|    0|    0|    0|   -2|    2|    0|    0|    0|    0|    0|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
   X7|    0|    2|    0|    2|    0|    0|    0|    2|   -2|    2|   -2|    2|    0|    2|    0|   -2|   -2|    0|    0|    0|   -2|    2|    0|    2|    0|   -2|    2|    2|    0|    0|   -2|    2|    2|    2|   -2|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
   X8|    2|    0|   -2|    0|    2|    2|   -2|    0|    0|    0|    0|    0|    2|    0|   -2|    0|    0|   -2|   -2|   -2|    0|    0|    2|    0|   -2|    0|    0|    0|    2|   -2|    0|    0|    0|    0|    0|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
   X9|    2|    0|   -2|    0|    2|    2|   -2|    0|    0|    0|    0|    0|    2|    0|   -2|    0|    0|   -2|   -2|   -2|    0|    0|    2|    0|   -2|    0|    0|    0|    2|   -2|    0|    0|    0|    0|    0|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
  X10|    0|    2|    0|    2|    0|    0|    0|    2|   -2|    2|   -2|    2|    0|    2|    0|   -2|   -2|    0|    0|    0|   -2|    2|    0|    2|    0|   -2|    2|    2|    0|    0|   -2|    2|    2|    2|   -2|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
  X11|    2|    0|   -2|    0|    2|    2|   -2|    0|    0|    0|    0|    0|    2|    0|   -2|    0|    0|   -2|   -2|   -2|    0|    0|    2|    0|   -2|    0|    0|    0|    2|   -2|    0|    0|    0|    0|    0|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
  X12|    0|   -2|    0|   -2|    0|    0|    0|   -2|    2|   -2|    2|   -2|    0|   -2|    0|    2|    2|    0|    0|    0|    2|   -2|    0|   -2|    0|    2|   -2|   -2|    0|    0|    2|   -2|   -2|   -2|    2|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
  X13|   -2|    0|    2|    0|   -2|   -2|    2|    0|    0|    0|    0|    0|   -2|    0|    2|    0|    0|    2|    2|    2|    0|    0|   -2|    0|    2|    0|    0|    0|   -2|    2|    0|    0|    0|    0|    0|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
  X14|   -2|    0|    2|    0|   -2|   -2|    2|    0|    0|    0|    0|    0|   -2|    0|    2|    0|    0|    2|    2|    2|    0|    0|   -2|    0|    2|    0|    0|    0|   -2|    2|    0|    0|    0|    0|    0|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
  X15|   -2|    0|    2|    0|   -2|   -2|    2|    0|    0|    0|    0|    0|   -2|    0|    2|    0|    0|    2|    2|    2|    0|    0|   -2|    0|    2|    0|    0|    0|   -2|    2|    0|    0|    0|    0|    0|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
  X16|   -2|    0|    2|    0|   -2|   -2|    2|    0|    0|    0|    0|    0|   -2|    0|    2|    0|    0|    2|    2|    2|    0|    0|   -2|    0|    2|    0|    0|    0|   -2|    2|    0|    0|    0|    0|    0|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
  X17|   -2|    0|    2|    0|   -2|   -2|    2|    0|    0|    0|    0|    0|   -2|    0|    2|    0|    0|    2|    2|    2|    0|    0|   -2|    0|    2|    0|    0|    0|   -2|    2|    0|    0|    0|    0|    0|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
  X18|    2|    0|   -2|    0|    2|    2|   -2|    0|    0|    0|    0|    0|    2|    0|   -2|    0|    0|   -2|   -2|   -2|    0|    0|    2|    0|   -2|    0|    0|    0|    2|   -2|    0|    0|    0|    0|    0|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
  X19|    2|    0|   -2|    0|    2|    2|   -2|    0|    0|    0|    0|    0|    2|    0|   -2|    0|    0|   -2|   -2|   -2|    0|    0|    2|    0|   -2|    0|    0|    0|    2|   -2|    0|    0|    0|    0|    0|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
  X20|    0|    2|    0|    2|    0|    0|    0|    2|   -2|    2|   -2|    2|    0|    2|    0|   -2|   -2|    0|    0|    0|   -2|    2|    0|    2|    0|   -2|    2|    2|    0|    0|   -2|    2|    2|    2|   -2|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
  X21|    0|   -2|    0|   -2|    0|    0|    0|   -2|    2|   -2|    2|   -2|    0|   -2|    0|    2|    2|    0|    0|    0|    2|   -2|    0|   -2|    0|    2|   -2|   -2|    0|    0|    2|   -2|   -2|   -2|    2|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
